ORDEN,SUBORDEN,FAMILIA,SUBFAMILIA ,TRIBU,ESPECIE,REFERENCIA,ESPECIES ESPERADAS,NOTAS
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,PHYLLOSTOMINAE ,LONCHORHININI ,"Macrophyllum macrophyllum (Schinz, 1821)",,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,PHYLLOSTOMINAE ,LONCHORHININI ," Mimon cozumelae Goldman, 1914",,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,PHYLLOSTOMINAE ,LONCHORHININI ,Gardnernycteris crenulatum ,"Hurtado&Pacheco, 2014",,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,PHYLLOSTOMINAE ,MICRONYCTERINI ,"Glyphonycteris daviesi (Hill, 1964)",,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,PHYLLOSTOMINAE ,MICRONYCTERINI ,"Glyphonycteris sylvestris Thomas, 1896",,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,PHYLLOSTOMINAE ,MICRONYCTERINI ,"Lampronycteris brachyotis (Dobson, 1879) ",,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,PHYLLOSTOMINAE ,MICRONYCTERINI ,"Micronycteris hirsuta (Peters, 1869) ",,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,PHYLLOSTOMINAE ,MICRONYCTERINI ,"Micronycteris microtis Miller, 1898 ",,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,PHYLLOSTOMINAE ,MICRONYCTERINI ,"Micronycteris minuta (Gervais, 1856) ",,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,PHYLLOSTOMINAE ,MICRONYCTERINI ,"Micronycteris schmidtorum Sanborn, 1935 ",,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,PHYLLOSTOMINAE ,MICRONYCTERINI ,"Trinycteris nicefori (Sanborn, 1949) ",,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,PHYLLOSTOMINAE ,PHYLLOSTOMINI ,"Phylloderma stenops Peters, 1865 ",,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,PHYLLOSTOMINAE ,PHYLLOSTOMINI ,"Phyllostomus discolor (Wagner, 1843) ",,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,PHYLLOSTOMINAE ,PHYLLOSTOMINI ,"Phyllostomus hastatus (Pallas, 1767) ",,,
