ORDEN,SUBORDEN,FAMILIA,SUBFAMILIA ,TRIBU,ESPECIE,REFERENCIA,ESPECIES ESPERADAS,NOTAS
RODENTIA,MYOMORPHA ,CRICETIDAE ,NEOTOMINAE ,REITHRODONTOMYINI,Reithrodontomys garichensis *,,,
RODENTIA,MYOMORPHA ,CRICETIDAE ,NEOTOMINAE ,REITHRODONTOMYINI," Reithrodontomys musseri Gardner y Carleton, 2009**",,,
RODENTIA,MYOMORPHA ,CRICETIDAE ,NEOTOMINAE ,REITHRODONTOMYINI,"Reithrodontomys paradoxus Jones y Genoways, 1970***",,,
RODENTIA,MYOMORPHA ,CRICETIDAE ,NEOTOMINAE ,REITHRODONTOMYINI," Reithrodontomys rodriguezi Goodwin, 1943** ",,,
RODENTIA,MYOMORPHA ,CRICETIDAE ,NEOTOMINAE ,REITHRODONTOMYINI,"Reithrodontomys sumichrasti (Saussure, 1861) ",,,
RODENTIA,HYSTRICOMORPHA ,ERETHIZONTIDAE ,NA/ND,NA/ND,"Sphiggurus mexicanus (Kerr, 1792) ",,,
RODENTIA,HYSTRICOMORPHA ,DASYPROCTIDAE ,NA/ND,NA/ND,"Dasyprocta punctata Gray, 1842 ",,,
RODENTIA,HYSTRICOMORPHA ,CUNICULIDAE ,NA/ND,NA/ND,"Cuniculus paca (Linnaeus, 1766) ",,,
RODENTIA,HYSTRICOMORPHA ,ECHIMYIDAE ,NA/ND,NA/ND,"Hoplomys gymnurus (Thomas, 1897) ",,,
RODENTIA,HYSTRICOMORPHA ,ECHIMYIDAE ,NA/ND,NA/ND,"Proechimys semispinosus (Tomes, 1860) ",,,
RODENTIA,HYSTRICOMORPHA ,ECHIMYIDAE ,NA/ND,NA/ND,Diplomys labilis,Ramírez-Fernández et al 2015,,
LAGOMORPHA ,NA/ND,LEPORIDAE ,LEPORINAE ,NA/ND,"Sylvilagus dicei Harris, 1932*",,,
LAGOMORPHA ,NA/ND,LEPORIDAE ,LEPORINAE ,NA/ND,"Sylvilagus floridanus (J. A. Allen, 1890) ",,,
LAGOMORPHA ,NA/ND,LEPORIDAE ,LEPORINAE ,NA/ND,"Sylvilagus gabbii (J. A. Allen, 1877) ",,,
CARNIVORA ,FELIFORMIA ,FELIDAE ,PANTHERINAE ,NA/ND,"Panthera onca (Linnaeus, 1758) ",,,
CARNIVORA ,FELIFORMIA ,FELIDAE ,FELINAE ,NA/ND,"Leopardus pardalis (Linnaeus, 1758) ",,,
CARNIVORA ,FELIFORMIA ,FELIDAE ,FELINAE ,NA/ND,"Leopardus tigrinus (Schreber, 1775) ",,,
CARNIVORA ,FELIFORMIA ,FELIDAE ,FELINAE ,NA/ND,"Leopardus wiedii (Schinz, 1821)",,,
CARNIVORA ,FELIFORMIA ,FELIDAE ,FELINAE ,NA/ND,"Puma concolor (Linnaeus, 1771)",,,
CARNIVORA ,FELIFORMIA ,FELIDAE ,FELINAE ,NA/ND,"Puma yagouaroundi (E. Geoffroy, 1803) ",,,
CARNIVORA ,CANIFORMIA ,CANIDAE ,NA/ND,NA/ND,"Canis latrans Say, 1823",,,
CARNIVORA ,CANIFORMIA ,CANIDAE ,NA/ND,NA/ND,"Urocyon cinereoargenteus (Schreber, 1775) ",,,
CARNIVORA ,CANIFORMIA ,CANIDAE ,NA/ND,NA/ND,Speothos venaticus,referencia de nueva especie,,Se eliminó la “h” de Spheotos
CARNIVORA ,CANIFORMIA ,PROCYONIDAE ,NA/ND,NA/ND,"Bassaricyon gabbii J. A. Allen, 1876",,,
CARNIVORA ,CANIFORMIA ,PROCYONIDAE ,NA/ND,NA/ND,"Bassariscus sumichrasti (Saussure, 1860) ",,,
CARNIVORA ,CANIFORMIA ,PROCYONIDAE ,NA/ND,NA/ND,"Nasua narica (Linnaeus, 1766)",,,
CARNIVORA ,CANIFORMIA ,PROCYONIDAE ,NA/ND,NA/ND,"Potos flavus (Schreber, 1774)",,,
CARNIVORA ,CANIFORMIA ,PROCYONIDAE ,NA/ND,NA/ND,"Procyon cancrivorus (G. Cuvier, 1798) ",,,
CARNIVORA ,CANIFORMIA ,PROCYONIDAE ,NA/ND,NA/ND,"Procyon lotor (Linnaeus, 1758) ",,,
CARNIVORA ,CANIFORMIA ,MEPHITIDAE ,MEPHITINAE ,NA/ND,"Conepatus semistriatus (Boddaert, 1785) ",,,
CARNIVORA ,CANIFORMIA ,MEPHITIDAE ,MEPHITINAE ,NA/ND,"Mephitis macroura Lichtenstein, 1832 ",,,
CARNIVORA ,CANIFORMIA ,MEPHITIDAE ,MEPHITINAE ,NA/ND,"Spilogale angustifrons Howell, 1902",,,
CARNIVORA ,CANIFORMIA ,MUSTELIDAE ,MARTINAE ,NA/ND,"Eira barbara (Linnaeus, 1758) ",,,
CARNIVORA ,CANIFORMIA ,MUSTELIDAE ,GALICTIDINAE ,NA/ND,"Galictis vittata (Schreber, 1776) ",,,
CARNIVORA ,CANIFORMIA ,MUSTELIDAE ,LUTRINAE ,NA/ND,"Lontra longicaudis (Olfers, 1818) ",,,
CARNIVORA ,CANIFORMIA ,MUSTELIDAE ,MUSTELINAE ,NA/ND,"Mustela frenata Lichtenstein, 1831 ",,,
CARNIVORA ,CANIFORMIA ,OTTARIDAE ,NA/ND,NA/ND,"Arctocephalus galapagoensis Heller, 1904 ",,,
CARNIVORA ,CANIFORMIA ,OTTARIDAE ,NA/ND,NA/ND,"Zalophus californianus Lesson, 1828 ",revisar referencia,,
CARNIVORA ,CANIFORMIA ,OTTARIDAE ,NA/ND,NA/ND,"Zalophus wollebaeki Sivertsen, 1953 ",revisar referencia,,
SIRENIA ,NA/ND,TRICHECHIDAE ,NA/ND,NA/ND,"Trichechus manatus Linnaeus, 1758 ",,,
PERISSODACTYLA ,NA/ND,TAPIRIDAE ,NA/ND,NA/ND,"Tapirus bairdii (Gill, 1865) ",,,
ARTIODACTYLA ,NA/ND,TAYASSUIDAE ,NA/ND,NA/ND,"Pecari tajacu (Linnaeus, 1758)",,,
ARTIODACTYLA ,NA/ND,TAYASSUIDAE ,NA/ND,NA/ND,"Tayassu pecari (Link, 1795)",,,
ARTIODACTYLA ,NA/ND,CERVIDAE ,CAPREOLINAE ,ODOCOILEINI ,"Mazama temama (Kerr, 1792)",,,
ARTIODACTYLA ,NA/ND,CERVIDAE ,CAPREOLINAE ,ODOCOILEINI ,"Odocoileus virginianus (Zimmermann, 1780)",,,
CETACEA,ODONTOCETI ,DELPHINIDAE ,NA/ND,NA/ND,"Delphinus delphis Linnaeus, 1758",,,
CETACEA,ODONTOCETI ,DELPHINIDAE ,NA/ND,NA/ND,"Feresa attenuata Gray, 1874",,,
CETACEA,ODONTOCETI ,DELPHINIDAE ,NA/ND,NA/ND,"Globicephala macrorhynchus Gray, 1846",,,
CETACEA,ODONTOCETI ,DELPHINIDAE ,NA/ND,NA/ND," Grampus griseus Cuvier, 1812",,,
CETACEA,ODONTOCETI ,DELPHINIDAE ,NA/ND,NA/ND," Lagenodelphis hosei Fraser, 1956",,,
CETACEA,ODONTOCETI ,DELPHINIDAE ,NA/ND,NA/ND,"Orcinus orca Linnaeus, 1758",,,
CETACEA,ODONTOCETI ,DELPHINIDAE ,NA/ND,NA/ND,"Peponocephala electra Gray, 1846",,,
CETACEA,ODONTOCETI ,DELPHINIDAE ,NA/ND,NA/ND,"Pseudorca crassidens Owen, 1846",,,
CETACEA,ODONTOCETI ,DELPHINIDAE ,NA/ND,NA/ND," Sotalia guianensis (van Bénéden, 1864)",,,
CETACEA,ODONTOCETI ,DELPHINIDAE ,NA/ND,NA/ND,"Stenella attenuata Gray, 1846",,,
CETACEA,ODONTOCETI ,DELPHINIDAE ,NA/ND,NA/ND,"Stenella clymene Gray, 1850",,especie esperada,
CETACEA,ODONTOCETI ,DELPHINIDAE ,NA/ND,NA/ND,"Stenella coeruleoalba Meyen, 1833",,,
CETACEA,ODONTOCETI ,DELPHINIDAE ,NA/ND,NA/ND," Stenella frontalis Cuvier, 1829 ",,,
CETACEA,ODONTOCETI ,DELPHINIDAE ,NA/ND,NA/ND,"Stenella longirostris Gray, 1828 ",,,
CETACEA,ODONTOCETI ,DELPHINIDAE ,NA/ND,NA/ND,"Steno bredanensis Lesson, 1828",,,
CETACEA,ODONTOCETI ,DELPHINIDAE ,NA/ND,NA/ND," Tursiops truncatus Montagu, 1821 ",,,
CETACEA,ODONTOCETI ,PHYSETERIDAE ,NA/ND,NA/ND,"Physeter macrocephalus Linnaeus, 1758 ",,,
CETACEA,ODONTOCETI ,KOGIIDAE,NA/ND,NA/ND,"Kogia breviceps de Blainville, 1838",,especie esperada,
CETACEA,ODONTOCETI ,KOGIIDAE,NA/ND,NA/ND,"Kogia simus Owen, 1866",,,
CETACEA,ODONTOCETI ,ZIPHIIDAE,NA/ND,NA/ND,"Indopacetus pacificus (Longman, 1926) ",,,
CETACEA,ODONTOCETI ,ZIPHIIDAE,NA/ND,NA/ND,"Mesoplodon densirostris de Blainville, 1817 ",,,
CETACEA,ODONTOCETI ,ZIPHIIDAE,NA/ND,NA/ND,"Mesoplodon europaeus Gervais, 1855",,,
CETACEA,ODONTOCETI ,ZIPHIIDAE,NA/ND,NA/ND,"Mesoplodon ginkgodens (Nishiwaki y Kamiya, 1958) ",,especie esperada,
CETACEA,ODONTOCETI ,ZIPHIIDAE,NA/ND,NA/ND,"Mesoplodon peruvianus Reyes et al., 1991",,,
CETACEA,ODONTOCETI ,ZIPHIIDAE,NA/ND,NA/ND,"Ziphius cavirostris Cuvier, 1823 ",,,
CETACEA,MYSTICETI ,BALAENOPTERIDAE ,NA/ND,NA/ND,"Balaenoptera acutorostrata Lacépède, 1804",,especie esperada,
CETACEA,MYSTICETI ,BALAENOPTERIDAE ,NA/ND,NA/ND," Balaenoptera borealis Lesson, 1828",,,
CETACEA,MYSTICETI ,BALAENOPTERIDAE ,NA/ND,NA/ND, Balaenoptera edeni },revisar referencia,,
CETACEA,MYSTICETI ,BALAENOPTERIDAE ,NA/ND,NA/ND,"Balaenoptera musculus Linnaeus, 1758",,,
CETACEA,MYSTICETI ,BALAENOPTERIDAE ,NA/ND,NA/ND," Balaenoptera physalus Linnaeus, 1758",,,
CETACEA,MYSTICETI ,BALAENOPTERIDAE ,NA/ND,NA/ND," Megaptera novaeangliae Borowski, 1781 ",,,
